,tweet_text,sentiment,query_used,nome
0,ela vendo a familia  fugidinha vera lucia,Negativo,vera lucia :(,vera
1,eu odeio o fato que muito provavelmente meu voto vai ter que ir pro ciro gomes . eu to muito triste,Negativo,ciro :(,ciro
2,"ciro ""mita"" tanto quanto aquele outro, nao quero ser obrigada a votar nele.",Negativo,ciro :(,ciro
3,raiva do bolsonaro agora,Positivo,bolsonaro :),bolsonaro
4,"mas cara, eu to puto pq o ciro e a melhor resposta, poderia fazer uma campanha de esquerda super unida e o pt nessa de lula ta vindo, ele ta chegando galera..... pra chegar na hora e n conseguir",Negativo,ciro :(,ciro
5,"cara, ate o ciro ficou baqueado com ela... pior coisa do mundo e o ser humano se sentir so e chegar ao ponto de fazer umas coisas sem nocao so pra sentir que alguem se importa... entendo ela de certa forma",Negativo,ciro :(,ciro
6,meu cobrador favorito do tubo tava falando hoje que vai votar no bolsonaro  fiquei mt desapontada com ele,Negativo,bolsonaro :(,bolsonaro
7,"relaxa, mandinha, seu candidato alckmin ja ta labutando por isso ha anos sucateando a educacao publica.",Positivo,alckmin :),alckmin
8,"relaxa querido, voces ja conseguiram a ana amelia do ""pp"" como vice do alckmin",Positivo,alckmin :),alckmin
9,"nao, critico e ciro mesmo",Positivo,ciro :),ciro
10,ia ser massa isso. mas infelizmente e uma realidade muito distante pra gente  eu sou lulao pelos investimentos sociais. nao acredito 100% na inocencia dele mas se nao for ele e o embuste do bolsonaro,Negativo,bolsonaro :(,bolsonaro
11,assiste o alckmin na globonews que vc dorme facil,Positivo,alckmin :),alckmin
12,"a nivel de curiosidade, a katia abreu sendo vice do ciro, vcs mantem os votos nele?",Positivo,ciro :),ciro
13,"vamos falar de economia ciro? vamos... vamos falar de economia bolsonaro? nao, minha equipe que vai falar por mim",Positivo,ciro :),ciro
14,"nao espero que vc mude seu voto... tem uma razao pra esse ser secreto. mas acho engracado entenderem q ciro tem preparo, mostra o fundo de poco que estamos. politica br e jogo de qm engana melhor. q venca o melhor ator! boa sorte a nos",Positivo,ciro :),ciro
15,o ciro vai pautar  melhor assim.,Positivo,ciro :),ciro
16,bolsonaro cancelou presenca,Negativo,bolsonaro :(,bolsonaro
17,"governador do df, rollemberg, disse que ciro ja possui maioria do psb para formar alianca. o pcdob poderia anunciar a manuela na vaga de vice... e bola rolando.",Positivo,ciro :),ciro
18,e bolsonaro  ? -- sou isabella,Negativo,bolsonaro :(,bolsonaro
19,"n tem o pai do panda? do kong fu panda? entao bolsonaro parece c ele ne!? vixi, desculpa pai do panda",Negativo,bolsonaro :(,bolsonaro
20,"gente o rio de janeiro e uma cidade linda,abencoada,mas qual e do povo ai ? todo pais e um caos politicamente falando,mas o rio meu pai,erraram com crivela,erraram com bolsonaro e cia,,com pesao,com sergio cabral,garotinho .. triste,muito triste",Negativo,bolsonaro :(,bolsonaro
21,ai que dozinha do bolsonaro levaram a arma dele to morrendo de do,Negativo,bolsonaro :(,bolsonaro
22,poxa o bolsonaro nao responde uma pergunta,Negativo,bolsonaro :(,bolsonaro
23,"pronto, agora voce encontrou o seu motivo pra nao votar no bolsonaro e mourao, ele errou? errou, agora comece a defender um liberal e pare de fingir como um eleitor de direita",Positivo,bolsonaro :),bolsonaro
24,"como se nao bastasse passar vergonha com bolsonaro no facebook ainda sao esmurrados nos comentarios, eu me divirto ne",Positivo,bolsonaro :),bolsonaro
25,nao param de falar dele  bolsonaro,Positivo,bolsonaro :),bolsonaro
26,pelo menos nao e bolsonaro,Positivo,bolsonaro :),bolsonaro
27,nao custa lembrar. a imprensa fica muito esquecida quando se trata do bolsonaro.,Positivo,bolsonaro :),bolsonaro
28,queria q a talita me seguisse  bem vinda vera lucia,Negativo,vera lucia :(,vera
29,"sim  cara, eu ate hoje nao superei minha esperanca de uma chapa haddad/ciro. mas impossivel, ne",Negativo,ciro :(,ciro
30,isso e que e conversa de bolsonaro,Positivo,bolsonaro :),bolsonaro
31,eu msm aqui em casa vou ter q fingir q votei no bolsonaro,Negativo,bolsonaro :(,bolsonaro
32,mt melhor!!!! mas infelizmente nao tem mt chance  minha esperanca eh que nao tornem o lula inelegivel ate la pq ele eh o unico q pode vencer o bolsonaro logo no 1o turno,Negativo,bolsonaro :(,bolsonaro
33,bom dia,Positivo,ciro :),ciro
34,"eu vejo meio parecido contigo o fabio  e bonoro p mim ja ta no segundo turno tb, e uma questao dar um voto consciente em quem realmente tem chances de chegar bem no 2 turno e derrotar, q p mim e o demonio do ciro..",Negativo,ciro :(,ciro
35,"ana, te peco do fundo do coracao tu ve possibilidade do brasileiro se unir apoiando qualquer seja o candidato menos pior pra e... -- pior que infelizmente nao!  muito triste a teimosia e a decisao do pt em nao apoiar o ciro, que...",Negativo,ciro :(,ciro
36,a velha tatica de tentar associar  aos corruptos do ex-partido dele... perguntar sobre as propostas que e bom ... nada!,Negativo,bolsonaro :(,bolsonaro
37,"para fazer escolha alckmin, o picole de chuchu marina, a sem tempero ciro, o destemperado.",Positivo,alckmin :),alckmin
